is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
true,13663
true,3582
true,2060
true,2545
true,4949
true,2484
true,1955
true,2572
true,2816
true,2624
true,2835
true,3069
true,3145
true,23047
true,4942
true,7132
false,7974
true,8139941
true,4945
true,7673180
true,8019551
true,8076315
true,4227
true,3856
true,2920
true,2906
true,2784
true,8050260
true,14690
true,8037708
true,3487
true,8025047
true,7780
false,25600
true,2990
true,2573
true,3184
true,2806
true,3316
true,3174
true,4047
false,2104
true,3967
true,3679
true,3244
true,3277
false,3313
true,3333
true,2424
true,2539
true,2896
true,3014
true,2563
true,2523
true,3391
true,2073
true,4512
true,3280
true,2748
false,2803
true,2556
true,3839
false,6351
true,3687
true,2753
true,3303
true,9864
false,3477
true,4257
false,2590
true,10328767
false,5672
true,7425
true,7532
true,4806
true,7477
true,4283
true,6853
true,11623
true,8694
true,5339
true,7554608
true,6919159
true,7549451
true,7471119
true,6798256
true,6616498
true,4279
true,6718249
true,1121770
true,5250
true,5970
false,2810
false,4267
true,9413
true,12694
true,4498
true,8133
true,5671
true,10988
true,3879
true,4359
true,5089
true,2067
true,4338
true,2081
true,5441
true,5508
true,4864
true,2470
true,7278
true,5237
true,4236
true,4540
true,5080
true,3792
true,4595
true,5036
true,17808562
true,5628
false,3505
true,2953
true,2059
true,1859
true,2135
true,23305
true,105066
true,6090
true,5932
false,4038
true,3887
true,2665
true,2733
true,5087
true,2967
true,2616
true,5815
true,2395
true,18750
true,6669
false,2723
true,2020
true,7847
true,2335
true,156035
true,2190
false,1541
true,2639
true,2282
true,2314
true,2673
true,2891
true,1530
true,1647
true,2630
true,2402
true,2477
true,2820
true,2445
true,2399
true,2302
false,2044
true,2547
false,1626
true,2817
true,2537
true,2349
true,2524
true,2473
true,2154
true,2539
true,2397
true,3393
true,1848
true,6343
true,2657
false,2743
true,2680
true,3296
true,2008
true,3326
true,2632
true,2268
true,2282
false,2805
true,2309
true,2285
true,2716
true,3424
true,2882
true,6752
true,1854
true,1936
false,1605
true,2096
true,1917
true,1870
true,1786
true,1828
true,2122
true,1942
true,1851
true,1722
true,1866
true,1900
true,7898
true,1797
true,2333
true,2597
false,2593
false,1896
true,2884
true,1954
true,1847
true,1877
true,1800
true,1739
true,1962
true,1804
true,1917
true,1891
false,1327
true,2182
false,2438
true,3714
true,7067
true,2356
true,2503
true,2423
true,2257
true,2711
true,2214
false,2208
true,3051
true,3882
true,2935
true,2514
true,2643
true,2712
true,2584
true,2512
true,3882
true,2518
true,2525
true,2731
true,2343
true,3014
true,2089
true,1826
true,1693
true,1982
true,1934
true,3471
false,3787
true,1952
true,1802
true,1644
true,1600
true,3831
true,2775
true,2154
true,1678
true,1718
true,1910
true,1732
true,2626
true,5150
true,2867
true,3335
true,2021
true,2884
true,1831
true,1828
false,1562
true,1649
true,1530
false,2255
true,1662
true,2819
true,1716
true,1723
true,1584
false,2204
true,1759
true,1736
true,1735
true,2107
true,1762
true,1910
true,1769
true,1619
true,1676
true,1627
true,2053
true,1782
true,2056
true,1820
true,3670
true,6058
true,1748
false,1485
true,2077
true,1762
true,1761
true,1941
true,1745
true,1681
true,1988
true,2984
true,2932
true,2466
true,2122
false,2790
true,2609
true,2039
true,2067
true,2730
true,2072
true,2060
true,1998
true,2034
false,1607
true,2098
true,1994
true,2119
true,2427
false,1395
true,3637
true,2476
true,2169
true,2631
true,2817
true,3307
true,3224
true,3521
true,2819
false,2522
true,5859
true,2024
false,1758
true,2328
true,1857
true,1760
true,1643
true,1649
true,2203
true,3094
true,1659
true,3398
true,2040
true,2986
true,3858
true,2801
true,3721
true,2566
true,3905
true,2752
true,929605
false,3181
true,2365
true,1845
true,1692
true,1412
true,1397
true,1426
true,1393
true,1533
true,1224
true,1286
true,1286
false,1503
true,1397
true,1344
true,1453
true,1413
true,1561
true,1490
true,1458
true,1543
true,1436
false,1773
true,7502
true,1393
true,1380
false,2423
true,1573
false,2042
true,1389
true,1477
true,1502
true,1520
true,1553
true,1499
true,1520
true,1431
true,5052
true,1441
true,1526
true,1273
true,1380
true,1304
true,1316
true,1383
true,1692
true,1559
false,1522
true,1362
true,1369
true,1190
true,1434
true,1449
true,1304
true,1368
false,1505
true,1572
true,1498
true,1333
true,1243
true,1343
true,3809
true,7505345
true,1319683
true,7627399
true,1902
true,1318
true,1062
true,992
true,1060
true,1130
true,997
true,872
true,981
true,1036
true,1001
true,1170
true,7313
true,2117
true,5981
true,5549
true,3404
true,6599
true,292823
true,7667
true,7376
true,2233
true,1913
false,1802
true,2265
true,2211
true,1823
false,2077
true,2881
true,2711
true,1599
true,1180
true,1668
true,2316
true,3276
true,2333
true,1581
true,1440
true,2182
true,3613
true,131887
true,203288
true,2378
true,290992
true,2894
true,3421
true,3281
true,1538
true,2404
true,16287
true,3214
true,1591
true,4664
true,2975
true,2708
false,2563
true,4495
true,4085
true,2047
true,261162
true,3369
true,2481
true,2685
true,2555
true,2712
true,2817
true,2634
true,2493
true,2483
true,2419
true,3568
true,2598
true,2808
true,2865
false,3738
true,2639
true,2412
true,2026
true,1891
true,1823
true,4243
true,2302
false,3387
true,2901
true,1790
true,1544
true,2047
true,3289
true,3009
true,1704
true,3349
false,2150
true,1837
true,3166
true,2685
true,3531
true,2339
true,3434
true,3013
true,2610
true,2803
true,5306
false,2297
true,2871
true,3020
true,2578
true,3458
false,2415
true,3622
true,4363
true,4110
true,1720
true,972
true,1767
true,2476
true,2000
true,1779
true,2043
true,1926
true,1813
true,2088
true,1670
true,1771
false,2896
true,1992
true,1523
true,1598
true,1781
true,1722
true,1816
true,2044
true,8011
true,1753
true,7332
true,1501
true,1706
true,1428
true,1330
true,1512
true,1437
true,1583
true,1478
true,2074
false,3150
true,2451
false,1737
true,6808
true,1969
true,2311
true,3181
true,2191
true,3101
true,1945
true,3178
true,2185
true,3949
true,1823
true,864
false,1924
true,2417
true,1996
true,6145
true,2825
true,3183
true,1289
true,737
true,858
true,3697
true,2336
true,2657
true,1827
true,1814
true,3543
true,1302
true,745
true,893
true,592
true,714
true,2658
true,12601
true,1358
true,2349
true,2020
true,2389
true,2474
true,1905
true,2792
false,2718
true,2990
true,1161
false,1877
true,818
true,1012
false,1399
true,745
true,625
false,1006
true,659
true,533
true,488
true,549
false,1076
true,516
true,493
true,856
true,550
true,548
true,698
