is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
true,9289
true,2715
true,2433
false,6726
true,2226
false,1132
true,2544
true,3646
false,845
true,2375
true,2237
false,821
true,2283
false,745
false,854
true,2744
true,2263
false,840
false,2000
false,1429
true,2692
true,12190
true,3260
false,1161
true,4181
true,3777
false,1187
true,3895
true,4101
false,1050
false,916
false,2590
false,1004
false,696
true,2787
false,709
true,2814
false,742
true,4477
false,804
true,344258
true,3008
false,777
true,2967
false,665
false,1226
false,928
false,1206
false,1188
true,4104
false,961
false,1191
true,4468
false,996
true,4617
false,1090
false,879
false,1037
true,5051
true,4163
true,9914363
true,4513
true,20244601
true,23364242
false,1135
false,1121
true,858201
true,14228694
true,5507
true,23266147
false,944
false,864
false,1139
true,3419
true,2405
false,784
true,5599
false,897
false,764
false,676
true,8399
true,2051
false,703
false,689
false,629
true,3392
true,2327
true,2123
true,2759
false,903
true,2794
true,2548
true,2310
false,807
false,686
true,23182908
true,14229
true,7018
true,9563193
true,4881
false,864
false,677
true,4049
true,2427
true,14402
true,10016553
true,10170336
true,10182506
true,10150340
true,10113698
false,1176
true,4425
true,10109274
true,3508
false,921
false,939
true,2649
false,1019
false,890
true,2747
true,3080
false,942
true,2911
true,3521
true,10150417
true,2867
false,1008
false,943
true,2411
false,883
false,921
false,855
true,2207
false,937
false,831
false,909
false,843
true,2369
false,945
true,8853
true,2678
true,2514
true,2691
true,2465
true,2803
false,1038
true,2392
true,2462
false,999
true,7017
true,2603
false,993
false,786
true,2247
true,6469
true,2216
false,868
true,2289
false,858
true,2149
false,893
true,2468
false,1212
true,10216536
true,10204740
true,10183117
false,1081
false,835
true,3456
false,1015
false,867
false,658
true,4368
false,1197
false,993
false,1035
true,3453
true,3947
false,1005
true,3591
true,11302
true,3991
false,886
false,778
true,2080
true,5509
false,798
false,767
false,712
true,2326
true,2114
true,1962
false,733
false,706
false,714
true,1843
true,5440
true,1809
false,761
false,815
true,2202
false,834
false,758
true,3040
false,1149
true,2225
true,2603
false,900
false,970
false,893
false,1155
false,898
false,869
false,743
false,716
true,3687
true,2512
true,4087
false,1063
false,972
false,824
true,5545
false,1045
false,1047
true,3791
true,2939
false,772
true,11824
false,1146
false,676
true,2904
false,757
false,717
true,2660
false,755
true,2803
true,2667
false,888
false,615
false,562
false,611
true,2193
false,819
false,670
true,2279
true,7346
false,749
false,987
false,759
false,711
false,695
true,4947
true,2583
false,922
true,2812
true,8363
false,1111
false,1036
true,3990
false,1156
false,795
false,1124
false,846
false,1021
true,3836
true,3290
false,1061
false,484
false,1399
false,905
false,1030
false,796
false,747
false,850
true,2543
false,864
true,2350
true,2463
true,4398
true,2047
false,845
false,732
true,2112
false,944
false,675
false,681
true,2214
false,863
false,683
true,4537
false,896
false,777
true,2335
true,2231
true,2224
true,4896
true,2230
false,886
true,2056
false,739
false,639
true,2064
true,2025
true,9841
true,2154
false,788
true,5874
true,2001
false,747
false,666
true,2076
false,812
true,2186
false,1090
true,2207
true,1995
false,756
true,2204
false,816
false,722
false,768
false,697
false,688
false,661
false,649
false,635
true,2334
true,2076
false,812
true,2053
false,715
true,2174
true,14742
true,2227
false,870
false,766
false,676
false,700
false,651
false,701
true,2646
false,790
false,688
false,617
true,6083
true,2079
false,839
true,2219
false,833
false,658
true,2105
false,757
true,2247
true,2252
false,883
false,699
true,6188
false,731
false,900
false,1296
false,901
true,2932
false,695
true,3778
false,924
true,9940
false,890
false,1026
false,884
false,825
false,1132
true,3114
false,937
false,992
false,1103
false,832
false,758
false,669
false,1169
false,1092
false,798
true,2393
true,6477
false,925
false,525
true,7304
false,18955
false,631
true,6189
false,701
false,487
true,1817
true,2696
true,4830
false,813
false,594
true,2950
true,3179
false,1167
false,1054
false,1097
true,3780
false,1153
false,836
true,3044
false,1144
true,3521
false,983
false,593
false,1224
true,5784
false,874
true,4250
true,2987
true,2512
true,2406
false,1097
false,2421
true,2590
false,1124
true,2764
true,3061
false,991
true,2478
true,2608
true,2475
true,2392
false,1009
false,905
true,2555
true,2309
false,907
false,836
true,2541
true,2512
true,2405
true,2318
true,2489
true,2263
false,974
false,812
true,2403
true,2478
true,2410
true,2360
false,967
true,2465
true,2400
true,2443
false,982
false,916
false,663
true,2488
true,2486
true,2422
false,907
false,692
false,598
false,755
true,2614
false,881
false,713
true,2625
false,881
true,2461
true,2701
true,7394
true,1985
true,5100
true,1661
true,1643
true,8878
false,783
true,1922
false,726
false,506
true,6501
false,644
true,4736
true,2031
true,5451
false,745
true,5913
false,640
true,5525
false,708
true,2143
true,1813
true,5716
true,1754
true,1922
true,5518
true,1687
false,769
true,1908
true,5513
false,749
true,4796
true,1619
true,1644
true,4647
true,1578
true,1667
true,7455
false,802
true,1817
false,771
true,1800
true,2166
false,766
false,618
false,390
true,1720
true,1647
true,4637
true,6155
false,707
true,1621
true,1660
true,4690
false,679
false,561
false,443
true,1746
true,4788
true,1517
false,773
true,1691
true,1602
false,756
false,496
false,557
true,1787
true,1698
false,745
true,1682
false,822
true,1894
false,639
false,476
false,451
true,1739
false,749
true,1701
true,1736
true,5001
false,726
true,4584
false,753
false,495
true,4562
false,717
false,457
false,447
false,404
true,1703
false,749
true,1730
true,1706
true,4884
false,764
true,6220
true,1631
true,1724
false,659
true,3167
false,618
false,530
false,477
false,3940
false,1192
false,838
false,750
false,898
false,1164
true,6684
false,1097
true,13250
true,4249
false,789
true,4923
true,4311
false,1109
true,5848
true,3419
true,5016
false,848
true,13855739
false,1286
true,10968
true,2664
true,2451
true,6191
true,2028
false,1156
false,1139
true,13802
true,2163
false,1126
false,700
true,2345
true,2261
true,6320
true,6074
true,1979
true,2027
false,1081
false,852
true,2451
true,6405
true,6253
true,1917
false,1050
true,2181
true,2247
false,1012
true,2974
true,6154
true,2005
false,1076
true,2072
true,2344
false,900
true,13936448
false,1285
true,13923042
false,2413
false,1026
false,881
false,1066
true,11366774
true,13951776
true,14052041
true,29990
true,14063784
