is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
true,9418
true,2545
true,2248
true,2664
true,2412
true,2042
true,2230
true,2450
true,3012
true,5713
true,4870
true,4617715
true,974476
true,3021
true,4612776
true,3101
true,3189
true,6767
true,4265
true,4831
true,2986
true,7687
true,3723
true,8557
true,4098
true,5652
true,3332
true,4174
true,3680
true,5978
true,3595
true,5886087
true,3669
true,13098213
true,4176
true,172683
true,3528
true,14885272
true,4676
true,4027
true,2756
true,3845
false,1241
true,2034952
true,12780
true,4725483
true,3456
true,5428817
true,2871
true,2686
false,808
true,2711
true,6505
true,2479
true,9510
true,2417
true,2617
true,2583
true,2572
false,833
true,2625
true,19465
true,2844
true,6291
true,3291
true,2486
true,2753
true,2474
true,2703
true,2875
true,3054
true,2570
true,2671
true,5080
true,3234
true,3129
true,2746
true,2718
true,2708
true,2798
true,2471
true,2582
true,2962
false,874
true,2693
true,2566
true,2810
true,2935
true,2941
true,174538
true,3016
true,4043
false,828
true,1132052
false,1269
true,5208655
true,3144
true,5184842
true,1001757
true,955932
true,5185024
true,3543
true,910507
true,5233652
true,832314
true,5223290
true,4858
true,5239951
false,787
true,7777
true,4943
true,5912
true,3481
true,601612
true,5377633
true,299622
true,514581
true,3535
true,45735
false,7116
true,3832
true,5132700
true,5107950
true,14407
true,8310
true,4306
true,2469
true,3489
true,6333
true,4209
true,4797
true,13103
true,11606
true,5587
true,3017
true,4648
true,6228
true,5022
true,3669
true,2803
true,5967
true,3411
true,3477
false,938
true,5975
true,5064
true,8543
true,3472
true,4744
true,2037
true,7525
true,3251
true,18230273
true,31692634
false,938
true,25998617
true,12340603
true,25903658
true,27205678
true,25337132
false,1001
true,25865621
true,25443287
true,25455501
true,11817362
true,25415918
true,7419
true,2349
false,770
false,634
true,2166
true,2256
true,2366
true,2406
true,5835
false,696
true,5875
true,2158
true,5941
true,2146
false,707
true,2396
true,11714812
false,918
true,19819354
true,5763930
true,5709056
true,5621001
true,5518601
true,10944
true,7702
true,3324
true,3844
true,7337
true,4779
true,3456
true,4840460
true,2831
true,8591
false,1055
true,3854
false,1157
false,1119
true,18781795
true,10820
true,3777
true,3759
true,11870
true,3890
true,10491
true,4253
true,4177
true,9257
true,4402
false,988
true,4532
true,10114
false,995
false,994
true,4592
true,9679
true,4439
false,1066
true,4249
true,10094
true,4171
false,932
true,4361
true,9869
true,3852
true,4221
true,9864
true,3917
true,3936
true,8502
true,3721
true,4674
true,4612
true,3863
true,8181
true,2163
true,2030
true,5088
true,2044
true,1931
true,5327
true,1900
true,2189
true,5194
true,1925
true,2136
false,674
true,5244
true,2119
true,4674
true,5315
true,1943
true,1918
true,5332
false,734
true,5218
true,2113
true,2074
true,7424
true,2034
true,2139
true,5084
true,2317
true,5603
true,6397
true,2202
true,5633
true,5173
true,2056
true,5009
true,6966
true,2012
true,5177
true,7236
true,2013
true,5497
true,4884
true,1943
true,2800
true,5390
true,2654
true,2274
true,5459
true,2265
true,2053
true,5549
true,2251
true,2199
true,7988
true,2516
true,2166
true,5762
true,2117
true,1930
true,5396
true,5840
true,2627
true,2455
true,5845
true,1981
true,169064
true,8354
false,660
true,5352
true,2157
true,2067
true,4979
false,651
true,5416
true,2089
true,2389
true,5720
true,5354
true,1974
true,2447
true,5289
true,2107
false,683
true,2093
false,655
true,1990
true,2072
true,5786
true,11072
true,2375
true,2163
true,5427
true,2081
true,2246
true,5534
true,7182
true,2180
true,2156
true,5515
false,674
true,5190
true,2126
true,2297
true,5410
true,5501
true,2112
true,2112
true,5719
true,5362
true,2018
true,2112
false,1083
true,16361366
true,8884
true,16385748
true,4670
true,3532
true,7786
true,9713
true,3127
true,3283
true,1945627
true,12760
true,16389646
true,1893658
true,16389575
true,1821080
false,1122
true,3616
true,4906
false,1122
true,3424
true,4843
true,4215
true,8846
true,7177
true,2242
false,793
true,2267
true,2253
true,2330
true,5046
true,5373
true,2319
true,2117
true,5206
true,5141
true,2034
true,2157
true,5328
true,5412
true,2112
true,10926
true,5580
true,6705
true,5563
true,2028
true,2008
true,5133
true,7090
true,2154
false,754
true,2383
true,2314
true,2137
true,5598
true,5157
true,2383
true,2112
true,5304
true,5446
true,5239
true,2172
true,2331
true,8643
true,5189
true,3377
true,3895
true,3397
true,3611
true,13496888
true,109285
true,13693266
true,3371
true,8849
true,13116461
true,6868
true,2128
true,2217
true,7618
true,5478
true,5220
true,2195
true,2157
true,2237
true,5317
true,5406
false,827
true,6526
true,5102
true,2068
true,2324
true,5529
true,5298
true,5375
true,2270
true,2046
true,2039
true,5171
true,5408
true,5448
true,2575
true,2003
true,2013
true,8653
true,7285
true,5333
true,2176
true,2159
true,2270
true,5463
true,5185
true,6154
true,2131
false,804
true,5277
true,2223
true,1972
true,2196
true,5185
true,5344
true,6569
true,5091
true,3205
true,2178
true,2368
true,5169
false,764
true,5182
true,5397
true,4955
true,5604
true,2091
true,2039
true,2173
false,691
true,2132
true,2405
true,5748
true,6593
true,5386
false,711
true,5403
true,5213
false,663
true,7143
true,4877
true,4812
true,2194
true,2089
true,2099
true,23851
true,5743
false,709
true,2218
true,6846
true,5124
true,4854
true,13130365
true,13148150
true,6312
true,2069
true,2103
true,2159
true,2798
true,5486
false,683
true,2167
true,5342
true,5509
true,567083
true,5659
true,4986
true,5612
true,2137
true,1989
true,1994
true,2196
true,6069
true,7769
true,7388
true,5295
true,5095
true,4968
true,2128
true,2117
true,2418
true,2671
true,5262
true,5173
false,697
true,2613
true,5915
true,5171
true,5105
true,5737
true,7996
true,6951
true,5625
true,2185
true,2178
false,759
false,587
true,5290
true,5173
true,5065
true,5130
true,2297
true,2116
true,2161
true,2312
true,13153334
true,5088
true,7641
true,2910
false,1184
true,6000
true,3499
true,3207
true,7866
true,8045
false,1212
true,3274
false,1035
true,3206
true,3294
true,4934
true,2951
true,3152
true,3226
true,7359
true,7016
true,8515
true,7513
true,7088
true,7244
true,11123
true,8012
true,6979
true,9929
true,7729
true,7663
true,7294
true,2975
true,2874
true,2881
true,4354
true,3381
true,3058
true,2869
true,3742
true,7898
true,6736
true,6756
true,9763
true,10101
true,7358
true,7018
true,7481
true,6951
true,9592
true,6796
true,8433
true,6963
true,6585
