is_write_op,time_in_nanoseconds
false,0
true,9785
true,18442
true,4397
true,2283
true,4468456
true,4624
true,3345
true,3276
true,2704
true,2967
true,3018
true,3174
true,4201
true,3803
true,4635
true,3745
true,4320
true,3919
true,4065
true,5417
true,4528
true,3762
false,9179
true,3556
false,1080
true,4689
true,4014
false,965
true,7622
true,3279
false,1045
true,6872
true,4265073
true,8979
true,3197
true,4287260
true,3619
true,4495489
true,4484420
true,3588
true,4498151
true,4455388
true,16517
true,2498
true,4196
true,3000
true,2908
true,4335500
true,3005
true,3322
true,3787
false,921
true,3554
true,4271
true,6718
true,4698
true,5188
true,3714
true,4846
true,5775
false,1484
true,5131
true,4289
true,4700
false,1158
true,5264
true,4363
true,3534
true,4269
true,3907
true,3058
true,3423
true,3862
true,3530
true,4992
true,3664
true,4507
true,7775
true,4625
true,5160
true,3905
true,3861
true,3585
true,5031
true,4292
true,4428
true,4100
true,3033
false,1367
true,2575
true,3268
true,2445
true,3518
true,2602
true,6910
true,2513
true,17236
true,2694
false,690
true,3025
true,3797
true,3254
true,3121
true,9789
true,1929
false,2081
true,2521
true,2059
true,1943
false,671
true,5391
true,2084
true,1914
false,710
true,1992
false,634
true,2082
true,1959
true,2163
true,2039
true,2016
true,1969
true,5131
true,8124
true,3978
true,2805
true,5178
true,10755
true,3238
true,5314
true,3992
true,3823
true,3874
true,3651
true,3402
true,3500
true,3731
true,4214
true,4541
false,1056
true,3766
true,7058
true,3021
true,3846
true,3958
false,927
false,1201
true,4280
true,4898
true,4348
true,3067
true,3726
false,1098
true,3419
true,3399
true,2456
true,2603
true,9160
true,2390
true,2617
true,2647
false,744
true,3673
false,730
true,3438
true,2511
true,2864
true,3216
true,2738
true,13683
true,4055
true,3819
false,1128
true,7780
true,2776
true,6882
true,2580
true,9281
true,2722
true,2701
true,2809
true,2654
true,2314
true,2434
true,2369
true,2531
true,6871
true,3002
true,18951
true,4127
true,6612
true,7978
false,765
true,10617
true,3914
true,5917
true,4167
true,3847
true,4158
false,865
true,3867
true,8012
true,2549
true,8055
true,2321
true,2394
true,2024
true,2288
true,2187
false,757
true,2202
true,2241
false,675
true,8460
true,2187
true,2166
true,2345
true,2235
true,5737
true,2328
true,5549
true,2123
true,2578
true,8343
